taxonomy_code,sncrf_account_codes,description
310,434,Ativos fixos tangíveis - Equipamento de transporte
311,435,Ativos fixos tangíveis - Equipamento administrativo
312,436,Ativos fixos tangíveis - Equipamentos biológicos
313,437,Ativos fixos tangíveis - Outros ativos fixos tangíveis
314,438,Ativos fixos tangíveis - Depreciações acumuladas - Terrenos e recursos naturais
315,438,Ativos fixos tangíveis - Depreciações acumuladas - Edifícios e outras construções
316,438,Ativos fixos tangíveis - Depreciações acumuladas - Equipamento básico
317,438,Ativos fixos tangíveis - Depreciações acumuladas - Equipamento de transporte
318,438,Ativos fixos tangíveis - Depreciações acumuladas - Equipamento administrativo
319,438,Ativos fixos tangíveis - Depreciações acumuladas - Equipamentos biológicos
320,438,Ativos fixos tangíveis - Depreciações acumuladas - Outros ativos fixos tangíveis
321,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Terrenos e recursos naturais
322,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Edifícios e outras construções
323,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Equipamento básico
324,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Equipamento de transporte
325,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Equipamento administrativo
326,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Equipamentos biológicos
327,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Outros ativos fixos tangíveis
328,441,Ativos intangíveis – Trespasse (Goodwill)
329,442,Ativos intangíveis – Propriedade industrial
330,443,Ativos intangíveis - Programas de computador
331,446,Ativos intangíveis - Outros ativos intangíveis Incluir contas 444 |
332,448,Ativos intangíveis - Amortizações acumuladas – Trespasse (Goodwill)
333,448,Ativos intangíveis - Amortizações acumuladas - Propriedade industrial
334,448,Ativos intangíveis - Amortizações acumuladas - Programas de computador
335,448,Ativos intangíveis - Amortizações acumuladas - Outros ativos intangíveis
336,449,Ativos intangíveis - Perdas por imparidade acumuladas – Trespasse (Goodwill)
337,449,Ativos intangíveis - Perdas por imparidade acumuladas - Propriedade industrial
338,449,Ativos intangíveis - Perdas por imparidade acumuladas - Programas de computador
339,449,Ativos intangíveis - Perdas por imparidade acumuladas - Outros ativos intangíveis
340,451,Investimentos em curso - Investimentos financeiros em curso
341,452,Investimentos em curso – Ativos fixos tangíveis em curso
342,453,Investimentos em curso - Ativos intangíveis em curso – Projetos de desenvolvimento Incluir conta 4532 a
343,454,Investimentos em curso - Adiantamentos por conta de investimentos - Investimentos financeiros em curso
344,454,Investimentos em curso - Adiantamentos por conta de investimentos - Ativos fixos tangíveis em curso
345,454,Investimentos em curso - Adiantamentos por conta de investimentos - Ativos intangíveis em curso
346,459,Investimentos em curso - Perdas por imparidade acumuladas - Investimentos financeiros em curso
347,459,Investimentos em curso - Perdas por imparidade acumuladas - Ativos fixos tangíveis em curso
348,459,Investimentos em curso - Perdas por imparidade acumuladas - Ativos intangíveis em curso
349,459,Investimentos em curso - Perdas por imparidade acumuladas investimentos - Investimentos financeiros em curso
350,459,Investimentos em curso - Perdas por imparidade acumuladas investimentos - Ativos fixos tangíveis em curso
351,459,Investimentos em curso - Perdas por imparidade acumuladas investimentos - Ativos intangíveis em curso
352,46,Ativos não correntes detidos para venda venda - Investimentos financeiros Incluir contas 461 a
353,46,Ativos não correntes detidos para venda venda - Ativos fixos tangíveis Incluir contas 461 a
354,46,Ativos não correntes detidos para venda venda - Ativos intangíveis Incluir contas 461 a
355,46,Ativos não correntes detidos para venda venda - Outros Incluir contas 461 a
356,46,Ativos não correntes detidos para venda - Passivos não correntes detidos para venda Incluir contas 461 a
357,469,Ativos não correntes detidos para venda Investimentos financeiros
358,469,Ativos não correntes detidos para venda Ativos fixos tangíveis
359,469,Ativos não correntes detidos para venda Ativos intangíveis
360,469,Ativos não correntes detidos para venda - Perdas por imparidade acumuladas - Outros
361,51,Capital
362,521,Ações (quotas) próprias - Valor nominal
363,522,Ações (quotas) próprias - Descontos e prémios
364,53,Prestações suplementares e outros instrumentos de capital próprio
365,54,Prémios de emissão
366,5511,Ajustamentos em ativos financeiros equivalência patrimonial - Ajustamentos de transição
367,5512,Ajustamentos em ativos financeiros equivalência patrimonial - Lucros não atribuídos
368,5513,Ajustamentos em ativos financeiros equivalência patrimonial - Decorrentes de outras variações nos capitais próprios das participadas
369,558,Ajustamentos em ativos financeiros - Outros Incluir contas 552 | 553
370,5611,Excedentes de revalorização de ativos fixos tangíveis e intangíveis - Revalorizações decorrentes de diplomas legais - Antes de imposto sobre o rendimento
371,5612,Excedentes de revalorização de ativos fixos tangíveis e intangíveis - Revalorizações decorrentes de diplomas legais - Impostos diferidos
372,5681,Excedentes de revalorização de ativos fixos tangíveis e intangíveis - Outros excedentes - Antes de imposto sobre o rendimento Incluir contas 562 |
373,5682,Excedentes de revalorização de ativos fixos tangíveis e intangíveis - Outros excedentes - Impostos diferidos
374,571,Outras variações no capital próprio demonstrações financeiras
375,572,Outras variações no capital próprio - Ajustamentos por impostos diferidos
376,578,Outras variações no capital próprio - Outras Incluir contas 573 |
377,581,Reservas - Reservas legais
378,588,Reservas - Outras reservas Incluir contas 582 | 583
379,591,Resultados – Resultados transitados
380,592,Resultados – Resultado do período anterior a aguardar distribuição
381,5931,Resultados – Resultado líquido do período – Resultado antes de impostos
382,5932,Resultados – Resultado líquido do período – Imposto sobre o rendimento do período
383,5933,Resultados – Resultado líquido do período – Resultado líquido- apuramento
384,599,Resultados – dividendos antecipados
385,6111,Gastos com inventários vendidos e consumidos e variação de produção matérias consumidas - Mercadorias
386,6112,"Gastos com inventários vendidos e consumidos e variação de produção e matérias consumidas – Matérias- primas, subsidiárias e de consumo"
387,6113,Gastos com inventários vendidos e consumidos e variação de produção matérias consumidas – Outros produtos de consumo
388,612,Gastos com inventários vendidos e consumidos e variação de produção - Gastos com ativos biológicos - compras
389,613,Gastos com inventários vendidos e consumidos e variação de produção produção
390,6141,Gastos com inventários vendidos e consumidos e variação de produção – Variações nos inventários de produção
391,6142,Gastos com inventários vendidos e consumidos e variação de produção – Variações nos inventários de produção refugos
392,6143,Gastos com inventários vendidos e consumidos e variação de produção – Variações nos inventários de produção
393,6144,Gastos com inventários vendidos e consumidos e variação de produção – Variações nos inventários de produção
394,6211,Fornecimentos e serviços externos – Água
395,6212,Fornecimentos e serviços externos – Eletricidade
396,62131,Fornecimentos e serviços externos – Combustíveis e outros fluídos - Gasóleo
397,62132,Fornecimentos e serviços externos – Combustíveis e outros fluídos – Gasolina
398,62138,Fornecimentos e serviços externos – Combustíveis e outros fluídos – Outros combustíveis
399,62139,Fornecimentos e serviços externos – Combustíveis e outros fluídos – Outros fluídos
400,6214,Fornecimentos e serviços externos – Conservação e reparação
401,6215,Fornecimentos e serviços externos – Ferramentas e utensílios de desgaste rápido
402,6216,Fornecimentos e serviços externos – Material de escritório
403,6217,Fornecimentos e serviços externos – Publicidade e propaganda
404,6218,Fornecimentos e serviços externos – Livros e documentação técnica
405,6219,"Fornecimentos e serviços externos – Limpeza, higiene e conforto"
406,6221,Fornecimentos e serviços externos – Rendas e alugueres
407,6222,Fornecimentos e serviços externos – Despesas de representação
408,6224,Fornecimentos e serviços externos – Comunicação
409,6225,Fornecimentos e serviços externos – Seguros
410,6227,Fornecimentos e serviços externos – Vigilância e segurança
411,6228,Fornecimentos e serviços externos – Royalties
412,6229,Fornecimentos e serviços externos – Estudos e pareceres
413,6230,Fornecimentos e serviços externos – Serviços de informática
414,6231,Fornecimentos e serviços externos – Transporte de inventários
415,6233,Fornecimentos e serviços externos – Deslocações e estadas
416,6234,Fornecimentos e serviços externos – Comissões
417,6235,Fornecimentos e serviços externos – Honorários
418,6236,Fornecimentos e serviços externos – Contencioso e notariado
419,6237,Fornecimentos e serviços externos – Serviços bancários
420,6296,Fornecimentos e serviços externos – Equipamentos de baixo valor
421,6297,Fornecimentos e serviços externos – Artigos para oferta
422,6298,Fornecimentos e serviços externos – Outros fornecimentos e serviços Incluir contas 6220 |
423,631,Gastos com o pessoal - Remunerações dos órgãos sociais
424,632,Gastos com o pessoal - Remunerações do pessoal
425,6331,Gastos com o pessoal - Benefícios pós
426,6332,Gastos com o pessoal - Benefícios pós
427,634,Gastos com o pessoal - Indemnizações
428,635,Gastos com o pessoal - Encargos sobre remunerações
429,636,Gastos com o pessoal - Seguros de acidentes no trabalho e doenças profissionais
430,637,Gastos com o pessoal - Gastos de ação social
431,638,Gastos com o pessoal - Outros gastos com o pessoal
432,641,Gastos de depreciação e de amortização Terrenos e recursos naturais
433,641,Gastos de depreciação e de amortização Edifícios e outras construções
434,641,Gastos de depreciação e de amortização propriedades de investimento
435,642,Gastos de depreciação e de amortização recursos naturais
436,642,Gastos de depreciação e de amortização outras construções
437,642,Gastos de depreciação e de amortização básico
438,642,Gastos de depreciação e de amortização de transporte
439,642,Gastos de depreciação e de amortização administrativo
440,642,Gastos de depreciação e de amortização biológicos
441,642,Gastos de depreciação e de amortização fixos tangíveis
442,643,Gastos de depreciação e de amortização (Goodwill)
443,643,Gastos de depreciação e de amortização industrial
444,643,Gastos de depreciação e de amortização computador
445,643,Gastos de depreciação e de amortização intangíveis
446,64,Gastos de depreciação e de amortização
447,64,Gastos de depreciação e de amortização
448,64,Gastos de depreciação e de amortização (Goodwill)
449,6511,Perdas por imparidade - Em dívidas a receber - Clientes
450,6512,Perdas por imparidade - Em dívidas a receber - Outros devedores
451,652,Perdas por imparidade – Ajustamentos em inventários
452,653,Perdas por imparidade - Em investimentos financeiros - Participações de capital
453,653,Perdas por imparidade - Em investimentos financeiros - Empréstimos concedidos
454,653,Perdas por imparidade - Em investimentos financeiros - Outros investimentos financeiros
455,653,Perdas por imparidade - Em investimentos financeiros – Trespasse (Goodwill)
456,654,Perdas por imparidade - Em propriedades de investimento - Terrenos e recursos naturais
457,654,Perdas por imparidade - Em propriedades de investimento - Edifícios e outras construções
458,654,Perdas por imparidade - Em propriedades de investimento - Outras propriedades de investimento
459,655,Perdas por imparidade - Em ativos fixos tangíveis - Terrenos e recursos naturais
460,655,Perdas por imparidade - Em ativos fixos tangíveis - Edifícios e outras construções
461,655,Perdas por imparidade - Em ativos fixos tangíveis - Equipamento básico
462,655,Perdas por imparidade - Em ativos fixos tangíveis - Equipamento de transporte
463,655,Perdas por imparidade - Em ativos fixos tangíveis - Equipamento administrativo
464,655,Perdas por imparidade - Em ativos fixos tangíveis - Equipamentos biológicos
465,655,Perdas por imparidade - Em ativos fixos tangíveis - Outros ativos fixos tangíveis
466,656,Perdas por imparidade - Em ativos intangíveis – Trespasse (Goodwill)
467,656,Perdas por imparidade - Em ativos intangíveis - Propriedade industrial
468,656,Perdas por imparidade - Em ativos intangíveis - Programas de computador
469,656,Perdas por imparidade - Em ativos intangíveis - Outros ativos intangíveis
470,657,Perdas por imparidade - Em investimentos em curso - Investimentos financeiros em curso
471,657,Perdas por imparidade - Em investimentos em curso - Ativos fixos tangíveis em curso
472,657,Perdas por imparidade - Em investimentos em curso - Ativos intangíveis em curso
473,658,Perdas por imparidade - Em ativos não correntes detidos para venda - Investimentos financeiros
474,658,Perdas por imparidade - Em ativos não correntes detidos para venda - Propriedades de investimento
475,658,Perdas por imparidade - Em ativos não correntes detidos para venda - Ativos fixos tangíveis
476,658,Perdas por imparidade - Em ativos não correntes detidos para venda - Ativos intangíveis
477,658,Perdas por imparidade - Em ativos não correntes detidos para venda - Outros
478,661,Perdas por reduções de justo valor - Em instrumentos financeiros
479,662,Perdas por reduções de justo valor Participações de capital
480,662,Perdas por reduções de justo valor - Em investimentos financeiros - Outros investimentos financeiros
481,663,Perdas por reduções de justo valor - Em propriedades de investimento - Terrenos e recursos naturais
482,663,Perdas por reduções de justo valor - Em propriedades de investimento - Edifícios e outras construções
483,663,Perdas por reduções de justo valor - Em propriedades de investimento - Outras propriedades de investimento
484,664,Perdas por reduções de justo valor - Em ativos biológicos - Consumíveis
485,664,Perdas por reduções de justo valor - Em ativos biológicos - De produção
486,671,Provisões do período - Impostos
487,672,Provisões do período - Garantias a clientes
488,673,Provisões do período - Processos judiciais em curso
489,674,Provisões do período - Acidentes no trabalho e doenças profissionais
490,675,Provisões do período - Matérias ambientais
491,676,Provisões do período - Contratos onerosos
492,677,Provisões do período - Reestruturação
493,678,Provisões do período - Outras provisões
494,68111,Outros gastos - Impostos - Impostos diretos – Imposto de capitais
495,68112,Outros gastos - Impostos - Impostos diretos – Imposto único sobre património
496,68113,Outros gastos - Impostos - Impostos diretos – Imposto de circulação automóvel
497,68118,Outros gastos - Impostos - Impostos diretos – Outros impostos diretos Incluir contas 68114
498,68121,Outros gastos - Impostos - Impostos indiretos – Direitos Aduaneiros
499,68122,Outros gastos - Impostos - Impostos indiretos – Imposto sobre o valor acrescentado
500,68123,Outros gastos - Impostos - Impostos indiretos – Imposto de selo
501,68128,Outros gastos - Impostos - Impostos indiretos – Outros impostos indiretos Incluir contas 68124
502,6813,Outros gastos - Impostos - Taxas
503,682,Outros gastos - Descontos de pronto pagamento concedidos
504,683,Outros gastos - Dívidas incobráveis
505,6841,Outros gastos - Perdas em inventários - Sinistros
506,6842,Outros gastos - Perdas em inventários - Quebras
507,6848,Outros gastos - Perdas em inventários - Outras perdas Incluir contas 6843 |
508,6851,"Outros gastos - Gastos em subsidiárias, associadas e empreendimentos conjuntos - Cobertura de prejuízos"
509,6852,"Outros gastos - Gastos em subsidiárias, associadas e empreendimentos conjuntos patrimonial"
510,6853,"Outros gastos - Gastos em subsidiárias, associadas e empreendimentos conjuntos - Alienações"
511,6858,"Outros gastos - Gastos em subsidiárias, associadas e empreendimentos conjuntos - Outros gastos"
512,6861,Outros gastos - Gastos nos restantes investimentos financeiros - Cobertura de prejuízos
513,6862,Outros gastos - Gastos nos restantes investimentos financeiros - Alienações
514,6868,Outros gastos - Gastos nos restantes investimentos financeiros – Outros gastos
515,6871,Outros gastos - Gastos em investimentos não financeiros - Alienações
516,6872,Outros gastos - Gastos em investimentos não financeiros - Sinistros
517,6873,Outros gastos - Gastos em investimentos não financeiros - Abates
518,6874,Outros gastos - Gastos em investimentos não financeiros - Gastos em propriedades de investimento
519,6875,Outros gastos - Gastos em investimentos não financeiros – Outros gastos
520,6881,Outros gastos - Outros - Correções relativas a períodos anteriores
521,6882,Outros gastos - Outros - Donativos
522,6883,Outros gastos - Outros - Quotizações
523,6884,Outros gastos - Outros - Ofertas e amostras de inventários
524,6885,Outros gastos - Outros - Insuficiência da estimativa para impostos
525,6886,Outros gastos - Outros - Perdas em instrumentos financeiros
526,68888,Outros gastos - Outros - Outros não especificados
527,6911,Gastos de financiamento - Juros suportados - Juros de financiamentos obtidos
528,6918,Gastos de financiamento - Juros suportados - Outros juros
529,6921,Gastos de financiamento - Diferenças de câmbio desfavoráveis - Relativas a financiamentos obtidos
530,6928,Gastos de financiamento - Diferenças de câmbio desfavoráveis - Outras
531,6981,Gastos de financiamento - Outras perdas de financiamento - Relativos a financiamentos obtidos
532,6988,Gastos de financiamento - Outras perdas de financiamento - Outros
533,711,Vendas - Mercadorias
534,712,Vendas - Produtos acabados e intermédios
535,713,"Vendas - Subprodutos, desperdícios, resíduos e refugos"
536,714,Vendas - Ativos biológicos
537,715,| 716 Vendas – outras vendas
538,717,Vendas - Devoluções de vendas
539,718,Vendas - Descontos e abatimentos em vendas
540,719,Vendas – “Rappel” sobre vendas
541,721,Prestações de serviços - Serviço A
542,722,Prestações de serviços - Serviço B
543,723,| 724 | 726 | 727 Prestações de serviços – Outros serviços
544,725,Prestações de serviços - Serviços secundários
545,728,Prestações de serviços - Descontos e abatimentos
546,731,Trabalhos para a própria entidade - Ativos fixos tangíveis
547,732,Trabalhos para a própria entidade - Ativos intangíveis
548,733,Trabalhos para a própria entidade - Propriedades de investimento
549,734,| 735 | 736 | 737 Trabalhos para a própria entidade - Outros
550,741,Subsídios à exploração - Subsídios do Estado e outros entes públicos
551,742,Subsídios à exploração - Subsídios de outras entidades
552,75,Rendimentos - Outros rendimentos Incluir conta 751 a 759
553,7611,Reversões - De depreciações e de amortizações - Propriedades de investimento - Terrenos e recursos naturais
554,7611,Reversões - De depreciações e de amortizações - Propriedades de investimento - Edifícios e outras construções
555,7611,Reversões - De depreciações e de amortizações - Propriedades de investimento - Outras propriedades de investimento
556,7612,Reversões - De depreciações e de amortizações - Ativos fixos tangíveis - Terrenos e recursos naturais
557,7612,Reversões - De depreciações e de amortizações - Ativos fixos tangíveis - Edifícios e outras construções
558,7612,Reversões - De depreciações e de amortizações - Ativos fixos tangíveis - Equipamento básico
559,7612,Reversões - De depreciações e de amortizações - Ativos fixos tangíveis - Equipamento de transporte
560,7612,Reversões - De depreciações e de amortizações - Ativos fixos tangíveis - Equipamento administrativo
561,7612,Reversões - De depreciações e de amortizações - Ativos fixos tangíveis - Equipamentos biológicos
562,7612,Reversões - De depreciações e de amortizações - Ativos fixos tangíveis - Outros ativos fixos tangíveis
563,7613,Reversões - De depreciações e de amortizações - Ativos intangíveis - Trespasse (Goodwill)
564,7613,Reversões - De depreciações e de amortizações - Ativos intangíveis - Propriedade industrial
565,7613,Reversões - De depreciações e de amortizações - Ativos intangíveis - Programas de computador
566,7613,Reversões - De depreciações e de amortizações - Ativos intangíveis - Outros ativos intangíveis
567,761,Reversões - De depreciações e de amortizações - Ativos biológicos - Consumíveis
568,761,Reversões - De depreciações e de amortizações - Ativos biológicos - De produção
569,761,Reversões - De depreciações e de amortizações - Investimentos financeiros
570,76211,Reversões - De perdas por imparidade - Em dívidas a receber - Clientes
571,76212,Reversões - De perdas por imparidade - Em dívidas a receber - Outros devedores
572,7622,Reversões - De perdas por imparidade – Ajustamentos em inventários - Mercadorias
573,7622,"Reversões - De perdas por imparidade Matérias-primas, subsidiárias e de consumo"
574,7622,Reversões - De perdas por imparidade – Ajustamentos em inventários - Produtos acabados e intermédios
575,7622,"Reversões - De perdas por imparidade Subprodutos, desperdícios, resíduos e refugos"
576,7622,Reversões - De perdas por imparidade – Ajustamentos em inventários - Produtos e trabalhos em curso
577,7622,Reversões - De perdas por imparidade biológicos consumíveis
578,7622,Reversões - De perdas por imparidade biológicos de produção
579,7623,Reversões - De perdas por imparidade Participações de capital
580,7623,Reversões - De perdas por imparidade Empréstimos concedidos
581,7623,Reversões - De perdas por imparidade - Em investimentos financeiros - Outros investimentos financeiros
582,7624,Reversões - De perdas por imparidade Terrenos e recursos naturais
583,7624,Reversões - De perdas por imparidade Edifícios e outras construções
584,7624,Reversões - De perdas por imparidade Outras propriedades de investimento
585,7625,Reversões - De perdas por imparidade recursos naturais
586,7625,Reversões - De perdas por imparidade outras construções
587,7625,Reversões - De perdas por imparidade - Em ativos fixos tangíveis - Equipamento básico
588,7625,Reversões - De perdas por imparidade - Em ativos fixos tangíveis - Equipamento de transporte
589,7625,Reversões - De perdas por imparidade - Em ativos fixos tangíveis - Equipamento administrativo
590,7625,Reversões - De perdas por imparidade Equipamentos biológicos
591,7625,Reversões - De perdas por imparidade - Em ativos fixos tangíveis - Outros ativos fixos tangíveis
592,7626,Reversões - De perdas por imparidade industrial
593,7626,Reversões - De perdas por imparidade computador
594,7626,Reversões - De perdas por imparidade intangíveis
595,7627,Reversões - De perdas por imparidade Investimentos financeiros em curso
596,7627,Reversões - De perdas por imparidade Propriedades de investimento em curso
597,7627,Reversões - De perdas por imparidade fixos tangíveis em curso
598,7627,Reversões - De perdas por imparidade intangíveis em curso
599,7627,Reversões - De perdas por imparidade - Em investimentos em curso - Adiantamentos por conta de investimentos - Investimentos financeiros em curso
600,7627,Reversões - De perdas por imparidade - Em investimentos em curso - Adiantamentos por conta de investimentos - Propriedades de investimento em curso
601,7627,Reversões - De perdas por imparidade - Em investimentos em curso - Adiantamentos por conta de investimentos - Ativos fixos tangíveis em curso
602,7627,Reversões - De perdas por imparidade - Em investimentos em curso - Adiantamentos por conta de investimentos - Ativos intangíveis em curso
603,7628,Reversões - De perdas por imparidade venda - Investimentos financeiros
604,7628,Reversões - De perdas por imparidade venda - Propriedades de investimento
605,7628,Reversões - De perdas por imparidade venda - Ativos fixos tangíveis
606,7628,Reversões - De perdas por imparidade venda - Ativos intangíveis
607,7628,Reversões - De perdas por imparidade venda - Outros
608,7631,Reversões - De provisões - Impostos
609,7632,Reversões - De provisões - Garantias a clientes
610,7633,Reversões - De provisões - Processos judiciais em curso
611,7634,Reversões - De provisões - Acidentes no trabalho e doenças profissionais
612,7635,Reversões - De provisões - Matérias ambientais
613,7636,Reversões - De provisões - Contratos onerosos
614,7637,Reversões - De provisões - Reestruturação
615,7638,Reversões - De provisões - Outras provisões
616,771,Ganhos por aumentos de justo valor - Em instrumentos financeiros
617,772,Ganhos por aumentos de justo valor Participações de capital
618,772,Ganhos por aumentos de justo valor - Em investimentos financeiros - Outros investimentos financeiros
619,773,Ganhos por aumentos de justo valor Terrenos e recursos naturais
620,773,Ganhos por aumentos de justo valor Edifícios e outras construções
621,773,Ganhos por aumentos de justo valor Outras propriedades de investimento
622,773,Ganhos por aumentos de justo valor Propriedades de investimento em curso
623,774,Ganhos por aumentos de justo valor - Em ativos biológicos - Consumíveis
624,774,Ganhos por aumentos de justo valor - Em ativos biológicos - De produção
625,7811,Outros rendimentos - Rendimentos suplementares - Serviços sociais
626,7812,Outros rendimentos - Rendimentos suplementares - Aluguer de equipamento
627,7813,"Outros rendimentos - Rendimentos suplementares - Estudos, projetos e assistência tecnológica"
628,7814,Outros rendimentos - Rendimentos suplementares - Royalties
629,7815,Outros rendimentos - Rendimentos suplementares - Desempenho de cargos sociais noutras empresas
630,7816,Outros rendimentos - Rendimentos suplementares - Outros rendimentos suplementares
631,782,Outros rendimentos - Descontos de pronto pagamento obtidos
632,783,Outros rendimentos - Recuperação de dívidas a receber
633,7841,Outros rendimentos - Ganhos em inventários - Sinistros
634,7842,Outros rendimentos - Ganhos em inventários - Sobras
635,7848,Outros rendimentos - Ganhos em inventários - Outros ganhos
636,7851,"Outros rendimentos - Rendimentos em subsidiárias, associadas e empreendimentos conjuntos - Dividendos"
637,7852,"Outros rendimentos - Rendimentos em subsidiárias, associadas e empreendimentos conjuntos - Aplicação do método da equivalência patrimonial"
638,7853,"Outros rendimentos - Rendimentos em subsidiárias, associadas e empreendimentos conjuntos - Alienações"
639,7858,"Outros rendimentos - Rendimentos em subsidiárias, associadas e empreendimentos conjuntos - Outros rendimentos"
640,7861,Outros rendimentos - Rendimentos nos restantes investimentos financeiros - Dividendos
641,7862,Outros rendimentos - Rendimentos nos restantes investimentos financeiros - Juros
642,7863,Outros rendimentos - Rendimentos nos restantes investimentos financeiros - Diferenças de câmbio favoráveis
643,7864,Outros rendimentos - Rendimentos nos restantes investimentos financeiros – Alienações
644,7868,Outros rendimentos - Rendimentos nos restantes investimentos financeiros – Outros rendimentos
645,7871,Outros rendimentos - Rendimentos em investimentos não financeiros - Alienações
646,7872,Outros rendimentos - Rendimentos em investimentos não financeiros - Sinistros
647,7873,Outros rendimentos - Rendimentos em investimentos não financeiros - Rendas e outros rendimentos em propriedades de investimento
648,7878,Outros rendimentos - Rendimentos em investimentos não financeiros - Outros rendimentos
649,7881,Outros rendimentos - Outros - Correções relativas a períodos anteriores
650,7882,Outros rendimentos - Outros - Excesso da estimativa para impostos
651,7883,Outros rendimentos - Outros investimentos
652,7884,Outros rendimentos - Outros - Ganhos em outros instrumentos financeiros
653,7885,Outros rendimentos - Outros - Restituição de impostos
654,7888,Outros rendimentos - Outros - Outros não especificados
655,7911,Ganhos de financiamento - Juros obtidos
656,7918,Ganhos de financiamento - Juros obtidos
657,7921,Ganhos de financiamento – Diferenças de câmbio favoráveis – Relativas a aplicações de financiamentos obtidos
658,7928,Ganhos de financiamento – Diferenças de câmbio favoráveis – Outras
659,7981,Outros ganhos de financiamento – Relativos a aplicações de financiamento obtidos
660,7988,"Outros ganhos de financiamento – Outros Gabinete do Ministro das Finanças e do Fomento Empresarial, na Praia, aos 27 de setembro de 2021. — O Ministro das Finanças e do Fomento Empresarial, Olavo Avelino Garcia Correia."
